,simulation_1
2083-04-06,6.865106941330689
2083-04-07,7.815963164864412
2083-04-08,7.515332364812599
2083-04-09,7.88380764282309
2083-04-10,8.421384411247814
2083-04-11,8.697546975759353
2083-04-12,14.632192567304777
2083-04-13,9.350676630566085
2083-04-14,7.966748981912858
2083-04-15,7.416929500637028
2083-04-16,7.187689736342709
2083-04-17,7.3503725326281515
2083-04-18,8.280731749689542
2083-04-19,8.265899880190986
2083-04-20,9.782944153974238
2083-04-21,8.502563357556586
2083-04-22,9.884695690644456
2083-04-23,11.529526625344914
2083-04-24,12.000784136233856
2083-04-25,9.850238282376381
2083-04-26,9.080818708427342
2083-04-27,8.422524915632488
2083-04-28,8.114230464925534
2083-04-29,8.18855933960914
2083-04-30,8.663653267763339
2083-05-01,9.622256782212489
2083-05-02,9.118967629467807
2083-05-03,8.651181718071625
2083-05-04,8.258352792909989
2083-05-05,8.340396393763443
2083-05-06,8.517038470870112
2083-05-07,8.842791030896088
2083-05-08,8.955520762729485
2083-05-09,8.62581721137527
2083-05-10,8.300628308339842
2083-05-11,8.607227929680505
2083-05-12,8.682166684040014
2083-05-13,8.561838838816561
2083-05-14,8.713827817789028
2083-05-15,8.684680813915499
2083-05-16,8.544871230720087
2083-05-17,9.009323154473261
2083-05-18,9.091773828048755
2083-05-19,8.461720074430382
2083-05-20,8.634794149287336
2083-05-21,9.324905598511897
2083-05-22,9.895945949929516
2083-05-23,10.26384688489928
2083-05-24,10.205621645945122
2083-05-25,9.815976726025891
2083-05-26,9.474204766896637
2083-05-27,9.55956136343464
2083-05-28,9.879930124708752
2083-05-29,10.190500284649714
2083-05-30,10.219702533427885
2083-05-31,10.024246141530826
2083-06-01,10.023236844975965
2083-06-02,10.181225493233404
2083-06-03,10.287364704341929
2083-06-04,10.55793752978169
2083-06-05,10.361023011692856
2083-06-06,9.695341580065627
2083-06-07,9.934785977148579
2083-06-08,10.278297008031458
2083-06-09,10.417633322217565
2083-06-10,10.330852196420963
2083-06-11,10.415753496700198
2083-06-12,10.543627524599714
2083-06-13,10.215588263383548
2083-06-14,9.715153089097921
2083-06-15,9.64956641290236
2083-06-16,9.572555635913103
2083-06-17,9.722083240823032
2083-06-18,9.927223723154203
2083-06-19,9.69338416794824
2083-06-20,9.350064645723013
2083-06-21,9.402109586753
2083-06-22,9.46471707477845
2083-06-23,9.936616026693812
2083-06-24,9.939535938417432
2083-06-25,9.588061373435194
2083-06-26,9.9674727954351
2083-06-27,10.537152380341
2083-06-28,10.644472792843258
2083-06-29,10.304190700489906
2083-06-30,9.924309604829464
2083-07-01,9.48173641251127
2083-07-02,8.861335012538726
2083-07-03,9.18688477738992
2083-07-04,9.807229842743904
2083-07-05,9.775612849660085
2083-07-06,9.749641662059096
2083-07-07,9.565175996305562
2083-07-08,9.456553960993553
2083-07-09,9.568513042090796
2083-07-10,9.53072205104673
2083-07-11,9.430061306024577
2083-07-12,9.352406850799468
2083-07-13,8.595187707645797
2083-07-14,8.079518374912727
2083-07-15,9.721911105295648
2083-07-16,8.657001749328591
2083-07-17,8.296948552731116
2083-07-18,8.446166642066911
2083-07-19,8.089293725946215
2083-07-20,8.512279875721378
2083-07-21,8.608134215878257
2083-07-22,7.949470987934155
2083-07-23,8.366700615392899
2083-07-24,8.84092659896973
2083-07-25,8.246890743219751
2083-07-26,7.414588204881991
2083-07-27,7.954167604126962
2083-07-28,8.275949017622175
2083-07-29,7.549158939830342
2083-07-30,6.9471145159800844
2083-07-31,7.598770170792411
2083-08-01,8.206608208868627
2083-08-02,8.465268365106471
2083-08-03,7.681054062858065
2083-08-04,7.279051995467476
2083-08-05,7.2598328767528075
2083-08-06,6.45561801025646
2083-08-07,6.936408429802901
2083-08-08,6.924067784324443
2083-08-09,6.457485005892044
2083-08-10,5.604434060538116
2083-08-11,5.55039116008836
2083-08-12,5.720516155594606
2083-08-13,5.428429064273617
2083-08-14,6.275759312710225
2083-08-15,6.641654220361794
2083-08-16,7.146717025706391
2083-08-17,7.887261416181121
2083-08-18,5.783270183574027
2083-08-19,5.201894864588128
2083-08-20,5.429184446866854
2083-08-21,5.453387001233343
2083-08-22,4.625164856907562
2083-08-23,4.0764329984050205
2083-08-24,4.161910629742936
2083-08-25,4.544021374183394
2083-08-26,4.57280514006408
2083-08-27,4.609282627772921
2083-08-28,4.482383724142524
2083-08-29,4.334697658106732
2083-08-30,3.999989993480402
2083-08-31,3.2790285481185695
2083-09-01,3.606396747884048
2083-09-02,3.271070308862695
2083-09-03,3.264395661558428
2083-09-04,3.566578274011842
2083-09-05,5.3038901657436925
2083-09-06,7.612227644635382
2083-09-07,5.216000850864333
2083-09-08,3.6731561396972676
2083-09-09,3.878904848967947
2083-09-10,3.071665005282404
2083-09-11,2.6987603760499357
2083-09-12,2.4952106753491656
2083-09-13,2.365972342813383
2083-09-14,2.266893957320407
2083-09-15,2.1860283131923786
2083-09-16,2.3330867754186224
2083-09-17,5.134086262251287
2083-09-18,6.26244922271572
2083-09-19,4.933877108430514
2083-09-20,11.817895698246899
2083-09-21,9.679972239042877
2083-09-22,5.910967334368776
2083-09-23,4.205123805304213
2083-09-24,3.8388987903885585
2083-09-25,3.272044385619248
2083-09-26,3.4148381581075116
2083-09-27,4.856226201241223
2083-09-28,10.583261619284823
2083-09-29,7.731371169407265
2083-09-30,4.73562257603454
2083-10-01,6.178915690496894
2083-10-02,4.68103225064603
2083-10-03,3.703191588180446
2083-10-04,3.07018934276103
2083-10-05,2.782487906364553
2083-10-06,3.0715226162684974
2083-10-07,7.503185979712138
2083-10-08,5.411789552527604
2083-10-09,3.797784446776726
2083-10-10,3.0410126050049673
2083-10-11,2.763400051493756
2083-10-12,2.7658399606037833
2083-10-13,4.132055823603903
2083-10-14,4.650637618035943
2083-10-15,5.0574030681815785
2083-10-16,5.732385558080944
2083-10-17,4.725865247416085
2083-10-18,3.7601172908305283
2083-10-19,5.063853274161111
2083-10-20,4.283137936256917
