DATE,Tmax,Tmin,prec,T,Discharge,ETP
2002-09-24,14.4,6.3,0.0,10.35,0.06424,1.302
2002-09-25,9.7,3.7,3.7,6.699999999999999,0.06092,1.102
2002-09-26,10.7,7.2,9.1,8.95,0.08369,1.202
2002-09-27,16.4,6.9,0.4,11.649999999999999,0.08817,1.302
2002-09-28,15.9,5.6,0.0,10.75,0.07141,1.302
2002-09-29,17.2,6.4,0.0,11.8,0.06692,1.302
2002-09-30,16.9,5.4,0.0,11.149999999999999,0.06296,1.302
2002-10-01,17.8,6.7,0.0,12.25,0.06134,1.302
2002-10-02,16.5,8.7,0.0,12.6,0.06123,1.302
2002-10-03,16.4,11.7,0.2,14.049999999999999,0.06189,1.502
2002-10-04,16.9,8.6,0.7,12.75,0.06161,1.402
2002-10-05,13.2,5.3,1.4,9.25,0.05953,1.202
2002-10-06,13.0,6.6,6.9,9.8,0.08673,1.202
2002-10-07,13.3,4.2,0.0,8.75,0.0762,1.002
2002-10-08,13.5,3.5,0.0,8.5,0.06824,1.002
2002-10-09,15.2,2.0,0.0,8.6,0.06395,1.002
2002-10-10,14.2,4.8,0.0,9.5,0.06206,1.002
2002-10-11,8.5,4.6,0.0,6.55,0.06038,0.9
2002-10-12,8.4,4.9,1.3,6.65,0.06172,0.9
2002-10-13,11.4,7.6,0.3,9.5,0.06715,1.002
2002-10-14,12.9,7.0,0.2,9.95,0.06305,1.104
2002-10-15,12.8,6.2,5.0,9.5,0.06346,1.104
2002-10-16,13.9,10.3,6.3,12.100000000000001,0.0929,1.2
2002-10-17,11.4,6.1,7.9,8.75,0.26728,1.002
2002-10-18,9.4,5.0,2.1,7.2,0.13747,0.8
2002-10-19,8.9,1.1,1.0,5.0,0.11107,0.7
2002-10-20,9.5,0.4,0.0,4.95,0.09086,0.7
2002-10-21,13.2,5.4,3.7,9.3,0.09667,1.002
2002-10-22,13.6,10.7,10.1,12.149999999999999,0.13281,1.104
2002-10-23,12.4,4.5,16.1,8.45,0.91221,0.9
2002-10-24,9.6,4.5,5.0,7.05,0.78435,0.8
2002-10-25,13.4,7.2,14.2,10.3,1.24948,1.002
2002-10-26,12.3,5.1,7.3,8.7,3.2424,0.9
2002-10-27,14.9,7.6,14.4,11.25,3.05611,1.002
